round,t_start,t_end,unique_vehicles_seen,unique_connected_vehicles,uncovered_vehicle_time_s
0,0.0,10.0,1,0,8.0
1,10.0,20.0,2,0,13.0
2,20.0,30.0,2,0,20.0
3,30.0,40.0,3,0,28.0
4,40.0,50.0,4,0,33.0
5,50.0,60.0,4,0,40.0
6,60.0,70.0,5,1,37.0
7,70.0,80.0,6,1,42.0
8,80.0,90.0,6,1,50.0
9,90.0,100.0,7,3,43.0
10,100.0,110.0,8,4,45.0
11,110.0,120.0,8,4,52.0
12,120.0,130.0,9,4,46.0
13,130.0,140.0,10,5,50.0
14,140.0,150.0,10,5,50.0
15,150.0,160.0,11,5,57.0
16,160.0,170.0,11,4,78.0
17,170.0,180.0,10,3,70.0
18,180.0,190.0,9,3,67.0
19,190.0,200.0,9,3,57.0
20,200.0,210.0,8,3,54.0
21,210.0,220.0,8,2,60.0
22,220.0,230.0,8,2,67.0
23,230.0,240.0,7,3,29.0
24,240.0,250.0,5,3,23.0
25,250.0,260.0,4,2,20.0
26,260.0,270.0,4,2,24.0
27,270.0,280.0,4,2,21.0
28,280.0,290.0,4,2,20.0
29,290.0,300.0,4,2,20.0
30,300.0,310.0,2,1,18.0
31,310.0,320.0,2,1,10.0
32,320.0,330.0,2,1,10.0
33,330.0,340.0,2,1,10.0
34,340.0,350.0,2,1,10.0
35,350.0,360.0,2,1,10.0
36,360.0,370.0,2,1,15.0
37,370.0,380.0,2,0,12.0
38,380.0,390.0,1,0,10.0
39,390.0,400.0,1,0,10.0
40,400.0,410.0,1,0,10.0
41,410.0,420.0,1,0,4.0
